"112q -- Vanhojen osakeasuntojen keskihinnat ja kauppojen lukumäärät postinumeroalueittain ja rakennusvuosittain, 2010-2018"

"Postinumero","Talotyyppi","Rakennusvuosi","2010 Neliöhinta (EUR/m2)","2011 Neliöhinta (EUR/m2)","2012 Neliöhinta (EUR/m2)","2013 Neliöhinta (EUR/m2)","2014 Neliöhinta (EUR/m2)","2015 Neliöhinta (EUR/m2)","2016 Neliöhinta (EUR/m2)","2017 Neliöhinta (EUR/m2)","2018 Neliöhinta (EUR/m2)"
"00370 Reimarla   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3404,3588,3641,3744,3978,4176,4046,3916,4044
"00370 Reimarla   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",3024,3207,3273,3271,2981,3204,3286,3493,3279
"00380 Pitäjänmäen teollisuusalue   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,5107,4804,5190,.,.
"00380 Pitäjänmäen teollisuusalue   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",3811,.,4256,.,4884,4629,4975,4802,5273
"00390 Konala   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3266,3353,3514,3722,4014,4193,4135,4300,4362
"00390 Konala   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2704,2694,2893,2861,2992,3011,3036,3132,3195
"00400 Pohjois-Haaga   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3719,4003,4315,4597,4748,4877,4620,4968,.
"00400 Pohjois-Haaga   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",3056,3232,3399,3589,3613,3775,3753,4184,4185
"00410 Malminkartano   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,3164,.,.,.,.,.,3562,.
"00410 Malminkartano   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,2624,.,.,.,.,.,2772,2880
"00420 Kannelmäki   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3223,3463,3575,3786,3774,4157,3985,4329,4598
"00420 Kannelmäki   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2679,2655,2701,2942,2904,3062,2937,3334,3372
"00430 Maununneva   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00430 Maununneva   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00440 Lassila   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,4190,.,4506,.,.,.,4651
"00440 Lassila   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",3010,3225,3310,3366,3419,3450,3587,3600,3817
"00500 Sörnäinen   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",4343,4614,4834,5309,5427,5600,5954,6222,6385
"00500 Sörnäinen   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",3896,4082,4259,4524,4685,4850,5156,5331,5716
"00510 Etu-Vallila - Alppila   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",4320,.,4847,5016,5274,5461,5509,6217,6413
"00510 Etu-Vallila - Alppila   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",3781,3995,4146,4546,4533,4686,4947,5251,5845
"00520 Itä-Pasila   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",4171,4652,4899,4996,5173,5578,5658,5921,5807
"00520 Itä-Pasila   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",3504,3664,3898,4359,4208,4438,4687,5405,5561
"00530 Kallio   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",4408,4676,5026,5380,5513,5555,.,6106,6279
"00530 Kallio   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",4000,4287,4452,4755,4874,5026,5111,5431,5791
"00540 Kalasatama   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
